"response time","correct response","answered response",
"4579","y","y",
"1095","n","n",
"556","n","n",
"1548","y","y",
"1580","y","y",
"1019","n","n",
"782","n","n",
"904","y","y",
"1135","y","n",
"1608","n","n",
"1229","n","n",
"1040","y","y",
"845","y","y",
"919","n","n",
"1111","n","n",
"1140","y","y",
"1856","n","n",
"1299","y","y",
"1001","y","y",
"933","n","n",
"1026","y","n",
"1112","n","n",
"984","y","y",
"954","n","n",
"2028","y","n",
"1271","y","y",
"1453","n","n",
"1032","n","n",
"2475","y","y",
"1541","y","y",
"752","n","n",
"997","n","n",
